image_id,id,rank,duration_s
179765,38,6,0.114222966
179765,182,9,0.12619236
190236,401,11,0.122075886
331352,441,23,0.11562918
517069,447,4,0.10142314
179765,479,4,0.11341313
331352,540,29,0.086274914
190236,644,2,0.11107508
182417,856,3,0.09589458
517069,882,1,0.12633094
517069,957,1,0.07629939
331352,981,11,0.12821083
46378,1158,2,0.08370762
331352,1392,9,0.10882914
93437,1437,37,0.076719984
172330,1536,1,0.06422523
517069,1614,1,0.06325658
472678,1638,17,0.15077141
93437,1707,2,0.13302761
314251,1879,1,0.0857015
223747,2158,1,0.13834503
109976,2734,14,0.08087822
190236,2846,26,0.07020832
12667,2960,1,0.13961974
331352,2970,9,0.14990194
109976,3202,27,0.114522174
517069,3408,13,0.14751981
190236,3464,14,0.14464445
109976,4459,34,0.10428217
190236,4700,18,0.15064661
109976,4747,16,0.13242948
182417,4882,9,0.07690647
172330,5037,1,0.1293652
182417,5098,4,0.15110673
314251,5245,1,0.11805847
172330,5406,1,0.08153189
482917,5509,1,0.07980531
223747,5626,1,0.06245255
482917,5689,1,0.13649099
93437,6024,1,0.076150075
534605,6151,5,0.13254865
534605,6271,18,0.14897053
223747,6343,2,0.07917322
12667,6443,1,0.13341679
179765,6638,1,0.13237669
482917,6745,1,0.13303335
179765,6803,32,0.150171
314251,7090,1,0.06897895
482917,7237,1,0.083058655
472678,7482,23,0.12237623
172330,7941,1,0.077298716
534605,7990,29,0.14693873
534605,8173,1,0.09563694
223747,8233,1,0.1574102
289393,8242,1,0.12033738
534605,8272,4,0.12951237
12667,8522,1,0.12708162
561256,8549,4,0.08091351
12667,8648,1,0.15507683
46378,8733,17,0.08148873
223747,8845,1,0.14759937
109976,9115,1,0.12659754
338325,9769,9,0.12760803
65485,9862,24,0.12953004
226662,9914,39,0.092347905
338325,9919,22,0.14424098
11511,10030,1,0.09733616
338325,10069,9,0.11691718
46378,10527,14,0.0667465
182417,10897,1,0.11626701
172330,10935,1,0.11616135
11511,10939,1,0.09423758
221754,11008,,0.16326837
472678,11319,19,0.09119704
226662,11519,7,0.08069972
472678,11616,34,0.095631786
249025,11734,2,0.093143985
255965,11805,97,0.14084564
255965,11880,12,0.07600229
561256,11906,2,0.117167786
226662,12029,5,0.10925276
51598,12242,76,0.06677339
93437,12357,11,0.1301205
289393,12391,1,0.14873204
561256,12740,2,0.11993859
65485,12973,14,0.078963496
445846,13014,20,0.14121051
289393,13306,14,0.15297954
221754,13501,,0.14839289
