image_id,id,rank,duration_s
179765,38,11,0.43608516
179765,182,50,0.13759668
190236,401,7,0.13837123
331352,441,45,0.17903009
517069,447,4,0.17989592
179765,479,9,0.15959398
331352,540,48,0.15471518
190236,644,1,0.15001066
182417,856,9,0.10448334
517069,882,1,0.17546915
517069,957,1,0.1535591
331352,981,15,0.16093475
46378,1158,1,0.13015956
331352,1392,6,0.11468611
93437,1437,13,0.110149965
172330,1536,1,0.14820889
517069,1614,1,0.096256986
472678,1638,36,0.1335786
93437,1707,2,0.114936225
314251,1879,1,0.15299025
223747,2158,1,0.10297583
109976,2734,16,0.1612788
190236,2846,18,0.14807382
12667,2960,1,0.10160973
331352,2970,6,0.13664117
109976,3202,,0.16161384
517069,3408,13,0.13894978
190236,3464,6,0.18100338
109976,4459,23,0.1433656
190236,4700,11,0.15225491
109976,4747,5,0.13795029
182417,4882,40,0.14998212
172330,5037,1,0.1527802
182417,5098,2,0.081538
314251,5245,1,0.15873708
172330,5406,1,0.17279671
482917,5509,1,0.13505891
223747,5626,1,0.09112559
482917,5689,1,0.10203509
93437,6024,1,0.17387591
534605,6151,34,0.167865
534605,6271,2,0.074151814
223747,6343,2,0.11170195
12667,6443,1,0.09171975
179765,6638,9,0.10342718
482917,6745,1,0.121976584
179765,6803,46,0.16991842
314251,7090,1,0.07654635
482917,7237,1,0.12035578
472678,7482,35,0.13053773
172330,7941,1,0.08904663
534605,7990,42,0.09938272
534605,8173,2,0.13825789
223747,8233,1,0.11778532
289393,8242,1,0.13956246
534605,8272,3,0.13151705
12667,8522,1,0.12384626
561256,8549,53,0.07201991
12667,8648,1,0.11072677
46378,8733,26,0.11504655
223747,8845,1,0.14080691
109976,9115,1,0.13763785
338325,9769,18,0.07320911
65485,9862,85,0.159884
226662,9914,23,0.09762021
338325,9919,15,0.0897306
11511,10030,1,0.0881586
338325,10069,5,0.08447766
46378,10527,,0.09415563
182417,10897,1,0.12912548
172330,10935,1,0.16785504
11511,10939,1,0.1201418
221754,11008,,0.15296248
472678,11319,20,0.0876943
226662,11519,2,0.17786457
472678,11616,58,0.07738223
249025,11734,2,0.11033799
255965,11805,49,0.14801036
255965,11880,,0.114296265
561256,11906,12,0.09200675
226662,12029,6,0.13040946
51598,12242,,0.13306792
93437,12357,18,0.14258638
289393,12391,1,0.08968096
561256,12740,3,0.08605456
65485,12973,,0.12940954
445846,13014,35,0.091885515
289393,13306,1,0.15953119
221754,13501,,0.13916533
482917,13606,1,0.1400081
289393,13618,12,0.1209455
192871,13634,3,0.14245698
338325,14008,31,0.13587151
365642,14058,3,0.13321614
393569,14206,41,0.14566347
226662,14330,58,0.075680554
255965,14370,,0.15259787
116479,14446,11,0.12571773
63740,14472,79,0.114863336
