# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        6.180      872.957
       0.205       24.400      108.516     2416.145
       0.409       53.700      249.297     7200.996
       0.614       29.300      350.316     7347.379
       0.819      307.300      504.574     8286.730
       1.024       58.600      702.332     8480.402
       1.229       68.300      782.059     8596.254
       1.433       53.700      920.453     8784.406
       1.638       53.800     1093.395     9015.410
       1.843       53.600     1275.062     9286.703
       2.048       68.400     1478.746     9697.059
       2.257       81.400     1263.535    10018.750
       2.462      268.500     1447.301    10994.793
       2.666       68.300     1661.637    11241.500
       2.872       73.200     1778.684    11381.602
       3.077      272.800     1814.910    12907.113
       3.281      244.400     1997.793    13889.906
       3.490       52.700     2155.293    14080.656
       3.701       71.200     2197.172    14540.102
       3.907       92.300     1862.016    14206.895
       4.112       97.600     1969.461    14318.789
       4.317       29.300     1969.430    14315.047
       4.527        0.000     1969.430    14315.047
       4.733        0.000     1969.430    14315.047
       4.939        0.000     1969.430    14315.047
       5.145        0.000     1969.430    14315.047
       5.351        0.000     1969.430    14315.047
       5.563        0.000     1969.430    14315.047
       5.774        0.000     1969.430    14315.047
       5.985        0.000     1969.430    14315.047
       6.196        0.000     1969.430    14315.047
       6.407        0.000     1969.430    14315.047
       6.619        0.000     1969.430    14315.047
       6.833        0.000     1969.430    14315.047
       7.044        0.000     1969.430    14315.047
       7.249        0.000     1969.430    14315.047
       7.460        0.000     1969.430    14315.047
       7.666        0.000     1969.430    14315.047
       7.877        0.000     1969.430    14315.047
       8.088        0.000     1969.430    14315.047
       8.293        0.000     1969.430    14315.047
       8.499      121.400     2006.906    15565.312
       8.704       58.600     2093.617    16194.086
       8.915       52.300     2239.977    16376.574
       9.123       52.800     2406.906    16536.574
       9.332       71.800     2644.059    16877.137
       9.541      105.300     2710.406    17149.219
       9.746      136.400     2723.266    17149.219
       9.954      163.300     2746.738    17149.219
      10.159      151.400     2758.809    17149.219
      10.364      121.900     2759.066    17149.219
      10.574      142.700     2759.578    17149.219
