timestamp, utilization.gpu [%], memory.used [MiB]
2023/04/19 14:38:02.978, 0, 7
2023/04/19 14:38:03.179, 0, 7
2023/04/19 14:38:03.380, 0, 62
2023/04/19 14:38:03.581, 0, 80
2023/04/19 14:38:03.781, 1, 92
2023/04/19 14:38:03.982, 1, 92
2023/04/19 14:38:04.183, 1, 92
2023/04/19 14:38:04.383, 1, 120
2023/04/19 14:38:04.584, 1, 166
2023/04/19 14:38:04.785, 2, 210
2023/04/19 14:38:04.985, 2, 262
2023/04/19 14:38:05.186, 2, 326
2023/04/19 14:38:05.386, 2, 780
2023/04/19 14:38:05.587, 2, 780
2023/04/19 14:38:05.788, 7, 780
2023/04/19 14:38:05.988, 7, 1318
2023/04/19 14:38:06.189, 7, 1368
2023/04/19 14:38:06.390, 7, 1368
2023/04/19 14:38:06.590, 7, 1368
2023/04/19 14:38:06.791, 9, 1822
2023/04/19 14:38:06.991, 9, 1882
2023/04/19 14:38:07.192, 9, 1882
2023/04/19 14:38:07.393, 9, 1882
2023/04/19 14:38:07.594, 9, 1882
2023/04/19 14:38:07.795, 7, 1882
2023/04/19 14:38:07.996, 7, 1882
2023/04/19 14:38:08.197, 7, 1882
2023/04/19 14:38:08.398, 7, 1882
2023/04/19 14:38:08.599, 7, 1882
2023/04/19 14:38:08.800, 0, 1882
2023/04/19 14:38:09.001, 0, 1882
2023/04/19 14:38:09.202, 0, 1882
2023/04/19 14:38:09.402, 0, 1882
2023/04/19 14:38:09.603, 0, 1882
2023/04/19 14:38:09.804, 0, 1882
2023/04/19 14:38:10.005, 0, 1882
2023/04/19 14:38:10.205, 0, 1882
2023/04/19 14:38:10.406, 0, 1882
2023/04/19 14:38:10.607, 0, 1882
2023/04/19 14:38:10.808, 0, 1882
2023/04/19 14:38:11.008, 0, 1882
2023/04/19 14:38:11.209, 0, 1882
2023/04/19 14:38:11.410, 0, 1890
2023/04/19 14:38:11.610, 0, 2018
2023/04/19 14:38:11.811, 14, 2026
2023/04/19 14:38:12.012, 14, 2074
2023/04/19 14:38:12.213, 14, 2126
2023/04/19 14:38:12.413, 14, 2188
2023/04/19 14:38:12.614, 14, 2302
2023/04/19 14:38:12.815, 24, 2302
2023/04/19 14:38:13.015, 24, 2302
2023/04/19 14:38:13.216, 24, 2302
2023/04/19 14:38:13.417, 24, 2310
2023/04/19 14:38:13.617, 24, 2310
2023/04/19 14:38:13.818, 91, 2310
2023/04/19 14:38:14.018, 91, 2310
2023/04/19 14:38:14.219, 91, 2310
2023/04/19 14:38:14.420, 91, 2310
2023/04/19 14:38:14.620, 91, 2310
2023/04/19 14:38:14.822, 92, 2310
2023/04/19 14:38:15.022, 92, 2310
2023/04/19 14:38:15.223, 92, 2310
2023/04/19 14:38:15.425, 92, 2310
2023/04/19 14:38:15.625, 92, 2310
2023/04/19 14:38:15.826, 92, 2310
2023/04/19 14:38:16.027, 92, 2310
2023/04/19 14:38:16.228, 92, 2310
2023/04/19 14:38:16.429, 92, 2310
2023/04/19 14:38:16.629, 92, 2310
2023/04/19 14:38:16.830, 91, 2310
2023/04/19 14:38:17.030, 91, 2310
2023/04/19 14:38:17.231, 91, 2310
2023/04/19 14:38:17.432, 91, 2310
2023/04/19 14:38:17.632, 91, 2310
2023/04/19 14:38:17.833, 92, 2310
2023/04/19 14:38:18.034, 92, 2310
2023/04/19 14:38:18.234, 92, 2310
2023/04/19 14:38:18.435, 92, 2310
2023/04/19 14:38:18.635, 92, 2310
2023/04/19 14:38:18.836, 91, 2310
2023/04/19 14:38:19.038, 91, 2310
2023/04/19 14:38:19.239, 91, 2310
2023/04/19 14:38:19.439, 91, 2310
2023/04/19 14:38:19.641, 91, 2310
2023/04/19 14:38:19.842, 91, 2310
2023/04/19 14:38:20.043, 91, 2310
2023/04/19 14:38:20.243, 91, 2310
2023/04/19 14:38:20.444, 91, 2310
2023/04/19 14:38:20.645, 91, 2310
2023/04/19 14:38:20.845, 91, 2310
2023/04/19 14:38:21.046, 91, 2310
2023/04/19 14:38:21.246, 91, 2310
2023/04/19 14:38:21.447, 91, 2310
2023/04/19 14:38:21.648, 91, 2310
2023/04/19 14:38:21.848, 93, 2310
2023/04/19 14:38:22.049, 93, 2310
2023/04/19 14:38:22.250, 93, 2310
2023/04/19 14:38:22.451, 93, 2310
2023/04/19 14:38:22.652, 93, 2310
2023/04/19 14:38:22.854, 91, 2310
2023/04/19 14:38:23.055, 91, 2310
2023/04/19 14:38:23.264, 91, 2310
2023/04/19 14:38:23.465, 91, 2310
2023/04/19 14:38:23.665, 91, 2310
2023/04/19 14:38:23.866, 91, 2310
2023/04/19 14:38:24.067, 91, 2310
2023/04/19 14:38:24.269, 91, 2310
2023/04/19 14:38:24.469, 91, 2310
2023/04/19 14:38:24.670, 91, 2310
2023/04/19 14:38:24.872, 92, 2310
2023/04/19 14:38:25.074, 92, 2310
2023/04/19 14:38:25.274, 92, 2310
2023/04/19 14:38:25.475, 92, 2322
2023/04/19 14:38:25.676, 92, 2322
2023/04/19 14:38:25.877, 92, 2322
2023/04/19 14:38:26.077, 92, 2322
2023/04/19 14:38:26.278, 92, 2322
2023/04/19 14:38:26.479, 92, 2322
2023/04/19 14:38:26.679, 92, 2322
2023/04/19 14:38:26.880, 91, 2322
2023/04/19 14:38:27.081, 91, 2322
2023/04/19 14:38:27.281, 91, 2322
2023/04/19 14:38:27.482, 91, 2322
2023/04/19 14:38:27.683, 91, 2322
2023/04/19 14:38:27.883, 91, 2322
2023/04/19 14:38:28.084, 91, 2322
2023/04/19 14:38:28.285, 91, 2322
2023/04/19 14:38:28.486, 91, 2322
2023/04/19 14:38:28.688, 91, 2322
2023/04/19 14:38:28.889, 91, 2322
2023/04/19 14:38:29.091, 91, 2322
2023/04/19 14:38:29.292, 91, 2322
2023/04/19 14:38:29.492, 91, 2322
2023/04/19 14:38:29.695, 91, 2322
2023/04/19 14:38:29.896, 91, 2322
2023/04/19 14:38:30.096, 91, 2322
2023/04/19 14:38:30.297, 91, 2322
2023/04/19 14:38:30.498, 91, 2322
2023/04/19 14:38:30.698, 91, 2322
2023/04/19 14:38:30.899, 91, 2322
2023/04/19 14:38:31.100, 92, 2322
2023/04/19 14:38:31.300, 92, 2322
2023/04/19 14:38:31.501, 92, 2322
2023/04/19 14:38:31.702, 92, 2322
2023/04/19 14:38:31.902, 92, 2322
2023/04/19 14:38:32.103, 92, 2322
2023/04/19 14:38:32.304, 92, 2322
2023/04/19 14:38:32.504, 92, 2322
2023/04/19 14:38:32.705, 92, 2322
2023/04/19 14:38:32.906, 92, 2322
2023/04/19 14:38:33.107, 91, 2322
2023/04/19 14:38:33.316, 91, 2322
2023/04/19 14:38:33.517, 91, 2322
2023/04/19 14:38:33.717, 91, 2322
2023/04/19 14:38:33.919, 91, 2322
2023/04/19 14:38:34.121, 93, 2322
2023/04/19 14:38:34.322, 93, 2322
2023/04/19 14:38:34.523, 93, 2322
2023/04/19 14:38:34.724, 93, 2322
2023/04/19 14:38:34.924, 93, 2322
2023/04/19 14:38:35.125, 91, 2322
2023/04/19 14:38:35.325, 91, 2322
2023/04/19 14:38:35.526, 91, 2322
2023/04/19 14:38:35.727, 91, 2322
2023/04/19 14:38:35.928, 91, 2322
2023/04/19 14:38:36.128, 92, 2322
2023/04/19 14:38:36.329, 92, 2322
2023/04/19 14:38:36.530, 92, 2322
2023/04/19 14:38:36.730, 92, 2322
2023/04/19 14:38:36.931, 92, 2322
2023/04/19 14:38:37.133, 91, 2322
2023/04/19 14:38:37.333, 91, 2322
